"METHOD_CONSTRUCTION_ID","BORE_HOLE_ID","WELL_ID","METHOD_CONSTRUCTION_CODE","OTHER_METHOD_CONSTRUCTION"
961500619,10022662,"1500619","7",
961500620,10022663,"1500620","7",
961500621,10022664,"1500621","7",
961500622,10022665,"1500622","7",
961500623,10022666,"1500623","1",
961500624,10022667,"1500624","1",
961500625,10022668,"1500625","1",
961500626,10022669,"1500626","7",
961500627,10022670,"1500627","1",
961500628,10022671,"1500628","1",
961500629,10022672,"1500629","1",
961500630,10022673,"1500630","1",
961500631,10022674,"1500631","1",
961500632,10022675,"1500632","1",
961500633,10022676,"1500633","1",
961500634,10022677,"1500634","6",
961500635,10022678,"1500635","7",
961500636,10022679,"1500636","1",
961500637,10022680,"1500637","7",
961500638,10022681,"1500638","7",
961500639,10022682,"1500639","6",
961500640,10022683,"1500640","7",
961500641,10022684,"1500641","7",
961500642,10022685,"1500642","7",
961500643,10022686,"1500643","7",
961500644,10022687,"1500644","7",
961500645,10022688,"1500645","7",
961500646,10022689,"1500646","7",
961500647,10022690,"1500647","7",
961500648,10022691,"1500648","7",
961500649,10022692,"1500649","7",
961500650,10022693,"1500650","7",
961500651,10022694,"1500651","7",
961500652,10022695,"1500652","7",
961500653,10022696,"1500653","7",
961500654,10022697,"1500654","7",
961500655,10022698,"1500655","7",
961500656,10022699,"1500656","7",
961500657,10022700,"1500657","1",
961500658,10022701,"1500658","1",
961500659,10022702,"1500659","1",
961500660,10022703,"1500660","7",
961500661,10022704,"1500661","1",
961500662,10022705,"1500662","7",
961500663,10022706,"1500663","7",
961500664,10022707,"1500664","7",
961500665,10022708,"1500665","7",
961500666,10022709,"1500666","7",
961500667,10022710,"1500667","7",
961500668,10022711,"1500668","1",
961500669,10022712,"1500669","1",
961500670,10022713,"1500670","7",
961500671,10022714,"1500671","7",
961500672,10022715,"1500672","7",
961500673,10022716,"1500673","7",
961500674,10022717,"1500674","7",
961500675,10022718,"1500675","1",
961500676,10022719,"1500676","7",
961500677,10022720,"1500677","7",
961500678,10022721,"1500678","7",
961500679,10022722,"1500679","1",
961500680,10022723,"1500680","1",
961500681,10022724,"1500681","1",
961500682,10022725,"1500682","1",
961500683,10022726,"1500683","1",
961500684,10022727,"1500684","7",
961500685,10022728,"1500685","1",
961500686,10022729,"1500686","1",
961500687,10022730,"1500687","1",
961500688,10022731,"1500688","1",
961500689,10022732,"1500689","1",
961500690,10022733,"1500690","7",
961500691,10022734,"1500691","1",
961500692,10022735,"1500692","1",
961500693,10022736,"1500693","1",
961500694,10022737,"1500694","1",
961500695,10022738,"1500695","1",
961500696,10022739,"1500696","7",
961500697,10022740,"1500697","1",
961500698,10022741,"1500698","1",
961500699,10022742,"1500699","1",
961500700,10022743,"1500700","1",
961500701,10022744,"1500701","1",
961500702,10022745,"1500702","1",
961500703,10022746,"1500703","7",
961500704,10022747,"1500704","1",
961500705,10022748,"1500705","1",
961500706,10022749,"1500706","7",
961500707,10022750,"1500707","1",
961500708,10022751,"1500708","1",
961500709,10022752,"1500709","1",
961500710,10022753,"1500710","1",
961500711,10022754,"1500711","1",
961500712,10022755,"1500712","1",
961500713,10022756,"1500713","1",
961500714,10022757,"1500714","7",
961500715,10022758,"1500715","1",
961500716,10022759,"1500716","1",
961500717,10022760,"1500717","1",
961500718,10022761,"1500718","1",
961500719,10022762,"1500719","1",
961500720,10022763,"1500720","1",
961500721,10022764,"1500721","7",
961500722,10022765,"1500722","1",
961500723,10022766,"1500723","7",
961500724,10022767,"1500724","1",
961500725,10022768,"1500725","1",
961500726,10022769,"1500726","1",
961500727,10022770,"1500727","1",
961500728,10022771,"1500728","1",
961500729,10022772,"1500729","1",
961500730,10022773,"1500730","1",
961500731,10022774,"1500731","1",
961500732,10022775,"1500732","1",
961500733,10022776,"1500733","1",
961500734,10022777,"1500734","1",
961500735,10022778,"1500735","1",
961500736,10022779,"1500736","1",
961500737,10022780,"1500737","7",
961500738,10022781,"1500738","7",
961500739,10022782,"1500739","1",
961500740,10022783,"1500740","1",
961500741,10022784,"1500741","1",
961500742,10022785,"1500742","7",
961500743,10022786,"1500743","1",
961500744,10022787,"1500744","1",
961500745,10022788,"1500745","1",
961500746,10022789,"1500746","1",
961500747,10022790,"1500747","1",
961500748,10022791,"1500748","1",
961500749,10022792,"1500749","1",
961500750,10022793,"1500750","1",
961500751,10022794,"1500751","1",
961500752,10022795,"1500752","7",
961500753,10022796,"1500753","1",
961500754,10022797,"1500754","1",
961500755,10022798,"1500755","1",
961500756,10022799,"1500756","1",
961500757,10022800,"1500757","1",
961500758,10022801,"1500758","1",
961500759,10022802,"1500759","7",
961500760,10022803,"1500760","6",
961500761,10022804,"1500761","1",
961500762,10022805,"1500762","1",
961500763,10022806,"1500763","1",
961500764,10022807,"1500764","1",
961500765,10022808,"1500765","1",
961500766,10022809,"1500766","1",
961500767,10022810,"1500767","1",
961500768,10022811,"1500768","1",
961500769,10022812,"1500769","1",
961500770,10022813,"1500770","7",
961500771,10022814,"1500771","6",
961500772,10022815,"1500772","1",
961500773,10022816,"1500773","6",
961500774,10022817,"1500774","6",
961500775,10022818,"1500775","1",
961500776,10022819,"1500776","1",
961500777,10022820,"1500777","7",
961500778,10022821,"1500778","7",
961500779,10022822,"1500779","1",
961500780,10022823,"1500780","7",
961500781,10022824,"1500781","1",
961500782,10022825,"1500782","1",
961500783,10022826,"1500783","7",
961500784,10022827,"1500784","1",
961500785,10022828,"1500785","1",
961500786,10022829,"1500786","1",
961500787,10022830,"1500787","7",
961500788,10022831,"1500788","7",
961500789,10022832,"1500789","7",
961500790,10022833,"1500790","7",
961500791,10022834,"1500791","7",
961500792,10022835,"1500792","7",
961500793,10022836,"1500793","7",
961500794,10022837,"1500794","7",
961500795,10022838,"1500795","7",
961500796,10022839,"1500796","7",
961500797,10022840,"1500797","7",
961500798,10022841,"1500798","1",
961500799,10022842,"1500799","1",
961500800,10022843,"1500800","7",
961500801,10022844,"1500801","1",
961500802,10022845,"1500802","1",
961500803,10022846,"1500803","1",
961500804,10022847,"1500804","1",
961500805,10022848,"1500805","1",
961500806,10022849,"1500806","1",
961500807,10022850,"1500807","1",
961500808,10022851,"1500808","1",
961500809,10022852,"1500809","1",
961500810,10022853,"1500810","1",
961500811,10022854,"1500811","1",
961500812,10022855,"1500812","1",
961500813,10022856,"1500813","1",
961500814,10022857,"1500814","1",
961500815,10022858,"1500815","1",
