"PIPE_ID","WELL_ID","casing_number","Bore_Hole_ID","Comment","Alt_name"
10571322,"1500709",1,10022752,,
10571323,"1500710",1,10022753,,
10571324,"1500711",1,10022754,,
10571325,"1500712",1,10022755,,
10571326,"1500713",1,10022756,,
10571327,"1500714",1,10022757,,
10571328,"1500715",1,10022758,,
10571329,"1500716",1,10022759,,
10571330,"1500717",1,10022760,,
10571331,"1500718",1,10022761,,
10571332,"1500719",1,10022762,,
10571333,"1500720",1,10022763,,
10571334,"1500721",1,10022764,,
10571335,"1500722",1,10022765,,
10571336,"1500723",1,10022766,,
10571337,"1500724",1,10022767,,
10571338,"1500725",1,10022768,,
10571339,"1500726",1,10022769,,
10571340,"1500727",1,10022770,,
10571341,"1500728",1,10022771,,
10571342,"1500729",1,10022772,,
10571343,"1500730",1,10022773,,
10571344,"1500731",1,10022774,,
10571345,"1500732",1,10022775,,
10571346,"1500733",1,10022776,,
10571347,"1500734",1,10022777,,
10571348,"1500735",1,10022778,,
10571349,"1500736",1,10022779,,
10571350,"1500737",1,10022780,,
10571351,"1500738",1,10022781,,
10571352,"1500739",1,10022782,,
10571353,"1500740",1,10022783,,
10571354,"1500741",1,10022784,,
10571355,"1500742",1,10022785,,
10571356,"1500743",1,10022786,,
10571357,"1500744",1,10022787,,
10571358,"1500745",1,10022788,,
10571359,"1500746",1,10022789,,
10571360,"1500747",1,10022790,,
10571361,"1500748",1,10022791,,
10571362,"1500749",1,10022792,,
10571363,"1500750",1,10022793,,
10571364,"1500751",1,10022794,,
10571365,"1500752",1,10022795,,
10571366,"1500753",1,10022796,,
10571367,"1500754",1,10022797,,
10571368,"1500755",1,10022798,,
10571369,"1500756",1,10022799,,
10571370,"1500757",1,10022800,,
10571371,"1500758",1,10022801,,
10571372,"1500759",1,10022802,,
10571373,"1500760",1,10022803,,
10571374,"1500761",1,10022804,,
10571375,"1500762",1,10022805,,
10571376,"1500763",1,10022806,,
10571377,"1500764",1,10022807,,
10571378,"1500765",1,10022808,,
10571379,"1500766",1,10022809,,
10571380,"1500767",1,10022810,,
10571381,"1500768",1,10022811,,
10571382,"1500769",1,10022812,,
10571383,"1500770",1,10022813,,
10571384,"1500771",1,10022814,,
10571385,"1500772",1,10022815,,
10571386,"1500773",1,10022816,,
10571387,"1500774",1,10022817,,
10571388,"1500775",1,10022818,,
10571389,"1500776",1,10022819,,
10571390,"1500777",1,10022820,,
10571391,"1500778",1,10022821,,
10571392,"1500779",1,10022822,,
10571393,"1500780",1,10022823,,
10571394,"1500781",1,10022824,,
10571395,"1500782",1,10022825,,
10571396,"1500783",1,10022826,,
10571397,"1500784",1,10022827,,
10571398,"1500785",1,10022828,,
10571399,"1500786",1,10022829,,
10571400,"1500787",1,10022830,,
10571401,"1500788",1,10022831,,
10571402,"1500789",1,10022832,,
10571403,"1500790",1,10022833,,
10571404,"1500791",1,10022834,,
10571405,"1500792",1,10022835,,
