"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"OTTAWA CITY   ","18 438301 5021182 W","1953-06 3725","4    4    ","FR 0140 FR 0146 ","26/30/5/0:30","DO ","","1507867 () ","MSND BLDR 0038 WHIT LMSN 0146 "
"OTTAWA CITY   ","18 441551 5023022 W","1953-04 3705","6    6    ","FR 0035 ","15/20/10/1:0","DO ","","1507866 () ","CLAY 0018 LMSN 0070 "
"OTTAWA CITY   ","18 439976 5022162 W","1953-03 3718","4    4    ","FR 0050 FR 0071 FR 0100 ","30/40/3/0:30","DO ","","1507865 () ","GREY LOAM CLAY 0033 LMSN 0113 LMSN SHLE 0179 "
"OTTAWA CITY   ","18 443831 5024402 W","1955-01 1801","2    2    ","FR 0080 ","12/20/2/2:0","DO ","","1507871 () ","CLAY 0040 LMSN 0090 "
"OTTAWA CITY   ","18 442181 5023412 W","1953-02 3566","4    4    ","FR 0125 FR 0150 FR 0162 ","14/50/4/1:0","DO ","","1507863 () ","LOAM 0001 SHLE 0005 LMSN 0162 "
"OTTAWA CITY   ","18 443601 5024272 W","1955-01 1801","2    2    ","FR 0080 ","9/20/3/2:0","DO ","","1507872 () ","CLAY 0040 LMSN 0097 "
"OTTAWA CITY   ","18 441411 5022942 W","1952-07 3705","6    6    ","FR 0035 FR 0060 ","12/12/17/1:0","DO ","","1507861 () ","LOAM CLAY HPAN 0017 LMSN 0070 "
"OTTAWA CITY   ","18 440096 5022222 W","1951-11 3718","4    4    ","FR 0050 FR 0065 FR 0100 FR 0117 ","40/40/3/1:0","DO ","","1507860 () ","BLUE CLAY 0040 BLUE LMSN 0117 "
"OTTAWA CITY   ","18 442631 5023742 W","1951-11 3718","4    4    ","FR 0125 FR 0150 FR 0200 ","18/20/3/4:0","DO ","","1507859 () ","PRDR 0095 GREY LMSN 0200 "
"OTTAWA CITY   ","18 441581 5023042 W","1951-04 3566","4    4    ","FR 0030 FR 0040 FR 0056 ","7/25/5/1:0","DO ","","1507858 () ","SILT 0006 LMSN 0056 "
"OTTAWA CITY   ","18 441716 5023122 W","1950-10 3566","4    4    ","FR 0040 FR 0045 ","8//9/1:0","DO ","","1507857 () ","SILT 0003 CLAY MSND STNS 0008 ROCK 0045 "
"OTTAWA CITY   ","18 449091 5029592 W","1955-08 1107","4    4    ","SU 0095 ","14/45/8/1:0","DO ","","1507819 () ","LOAM MSND 0004 BLUE CLAY 0018 GREY FSND 0021 BLCK SHLE 0038 GREY SHLE 0095 "
"OTTAWA CITY   ","18 442211 5023422 W","1953-02 3725","6    6    ","FR 0060 FR 0150 ","35/35/5/1:0","PS ","","1507864 () ","MSND GRVL 0010 GREY LMSN 0225 "
"OTTAWA CITY   ","18 443211 5024027 W","1955-09 3718","5    5    ","FR 0060 ","17/45/4/1:0","DO ","","1507879 () ","CLAY 0045 BLCK ROCK 0087 "
"OTTAWA CITY   ","18 440501 5022382 W","1960-04 3601","6    6    ","FR 0145 ","22/32/5/1:0","ST DO ","","1507887 () ","CLAY 0047 LMSN 0145 "
